regije;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
SLOVENIJA;813529;833003;864351;880205;844655;818975;817311;792948;791323;799958;803644;824485;856201;887170;901537;891227;916765;935344
Pomurska;45281;46386;47571;47805;43449;42985;43479;40985;40135;39596;39171;39570;40667;41788;41833;41922;43001;43756
Podravska;122161;126164;131573;134064;126657;122562;121730;117420;117818;118918;119012;120480;124562;129688;132559;130793;134763;138442
Koroška;29453;29793;30606;30708;28809;27560;28014;27356;26977;27151;26723;27171;27923;28633;28605;28697;29067;29525
Savinjska;104691;107390;112380;113863;108563;104424;104937;102179;102424;102473;100066;102769;107302;111597;113240;112179;116249;119014
Zasavska;17629;17991;18492;18658;17472;16892;16607;16045;45153;15851;22009;22412;23362;24106;24371;23728;24230;25041
Posavska;27315;27903;29247;30263;29017;27932;27982;27086;27139;27321;29431;29949;31227;32396;32789;32081;33110;33619
Jugovzhodna;57882;59454;61814;62846;60336;58735;58377;56604;56533;57609;57305;59107;62108;64401;64807;63719;65390;66239
Osrednjeslovenska;212897;217408;225218;231056;227045;220475;220250;215218;215032;218906;216473;224104;233002;242106;248307;243975;249946;255933
Gorenjska;81424;83040;85560;86528;83922;81641;81627;80037;80128;81361;82180;84531;87647;90220;91211;91836;95003;95500
Primorsko-notranjska;21854;22457;23433;23819;45191;22154;21823;21210;45281;21434;21387;21809;22359;44980;23618;23277;24131;24844
Goriška;48788;49742;51383;52021;48959;47442;46746;45026;44927;45516;45436;46733;48293;49802;50235;49862;51181;51987
Obalno-kraška;44154;45275;47074;48574;47526;46173;45739;43782;43290;43822;44451;45850;47749;49233;49962;49158;50694;51444
